signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_105,ecg,LEGACY_IMPORTANCE,256,6,1,30.0542,1.466715e-04,0.0195,0.8410,1245,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,256,6,1,30.0593,1.464991e-04,0.0028,0.8410,1246,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,256,6,1,29.1776,1.794727e-04,0.0491,0.8004,1238,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,256,6,1,30.9071,1.205193e-04,0.0300,0.8235,1234,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,256,6,1,31.2322,1.118256e-04,0.0241,0.8170,1230,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_108,ecg,DROP,128,3,0,32.1580,6.520833e-05,0.0015,0.8408,971,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,RANDOM_DROP,128,3,0,26.9808,2.147948e-04,0.0078,0.7770,963,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,DROP_MIDDLE,128,3,0,32.1346,6.556076e-05,0.0077,0.8418,967,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,DROP_LOW_VARIANCE,128,3,0,30.7991,8.916489e-05,0.0085,0.7638,964,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,ADAPTIVE,128,3,0,34.6777,3.650312e-05,0.1907,0.8931,785,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,LEGACY_IMPORTANCE,128,3,0,30.2575,1.010066e-04,0.0084,0.8537,966,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,IMP_FIRST_ORDER,128,3,0,30.1046,1.046265e-04,0.0020,0.8502,971,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,IMP_WINDOWED_ENERGY,128,3,0,30.2429,1.013471e-04,0.0049,0.7943,964,0.1053,0.0833,0.1429,27.7778,-1.0000
ecg_108,ecg,IMP_COMPOSITE,128,3,0,31.4629,7.652605e-05,0.0053,0.8161,965,0.1053,0.0833,0.1429,27.7778,-1.0000
