record,method,buffer_size,overload,retained,CR,snr_db,f1,f1_baseline
115,IE,512,10,1511,6.618,33.7124,0.9831,0.9831
115,SDT,512,10,1508,6.631,33.6478,0.9831,0.9831
115,FIFO,512,10,1511,6.618,10.3549,0.9831,0.9831
115,IE,512,20,1011,9.891,30.7651,0.9831,0.9831
115,SDT,512,20,1011,9.891,31.4095,0.9831,0.9831
115,FIFO,512,20,1011,9.891,5.7785,0.8235,0.9831
115,IE,512,50,711,14.065,24.0736,0.9831,0.9831
115,SDT,512,50,711,14.065,27.8654,0.9831,0.9831
115,FIFO,512,50,711,14.065,4.1545,0.5,0.9831
118,IE,32,5,2031,4.924,38.172,0.9855,0.9855
118,SDT,32,5,2024,4.941,37.4763,0.9855,0.9855
118,FIFO,32,5,2031,4.924,27.2398,0.9855,0.9855
118,IE,32,10,1031,9.699,31.195,0.9855,0.9855
118,SDT,32,10,1033,9.681,31.1507,0.9855,0.9855
118,FIFO,32,10,1031,9.699,19.5955,0.9855,0.9855
118,IE,32,20,531,18.832,23.0266,0.9855,0.9855
118,SDT,32,20,529,18.904,23.491,0.9855,0.9855
118,FIFO,32,20,531,18.832,13.4591,0.9855,0.9855
118,IE,32,50,231,43.29,13.8877,0.9855,0.9855
118,SDT,32,50,231,43.29,17.6007,0.9706,0.9855
118,FIFO,32,50,231,43.29,8.2809,0.7869,0.9855
118,IE,64,5,2063,4.847,38.8238,0.9855,0.9855
118,SDT,64,5,2063,4.847,37.7159,0.9855,0.9855
118,FIFO,64,5,2063,4.847,27.5039,0.9855,0.9855
118,IE,64,10,1063,9.407,31.8738,0.9855,0.9855
118,SDT,64,10,1063,9.407,31.4283,0.9855,0.9855
118,FIFO,64,10,1063,9.407,19.9165,0.9706,0.9855
118,IE,64,20,563,17.762,23.8193,0.9855,0.9855
118,SDT,64,20,563,17.762,24.0689,0.9855,0.9855
118,FIFO,64,20,563,17.762,13.4808,0.9412,0.9855
118,IE,64,50,263,38.023,14.6663,0.9855,0.9855
