record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
118,IE,512,50,711,14.065,0.9855,1.0,0.9714,0.9855
118,FIFO,512,50,711,14.065,0.8308,0.9,0.7714,0.9855
119,IE,32,5,2031,4.924,0.9206,0.9355,0.9062,0.9206
119,FIFO,32,5,2031,4.924,0.9062,0.9062,0.9062,0.9206
119,IE,32,10,1031,9.699,0.9524,0.9677,0.9375,0.9206
119,FIFO,32,10,1031,9.699,0.9524,0.9677,0.9375,0.9206
119,IE,32,20,531,18.832,0.9206,0.9355,0.9062,0.9206
119,FIFO,32,20,531,18.832,0.64,0.8889,0.5,0.9206
119,IE,32,50,231,43.29,0.9524,0.9677,0.9375,0.9206
119,FIFO,32,50,231,43.29,0.48,0.6667,0.375,0.9206
119,IE,64,5,2063,4.847,0.9206,0.9355,0.9062,0.9206
119,FIFO,64,5,2063,4.847,0.9524,0.9677,0.9375,0.9206
119,IE,64,10,1063,9.407,0.9206,0.9355,0.9062,0.9206
119,FIFO,64,10,1063,9.407,0.9524,0.9677,0.9375,0.9206
119,IE,64,20,563,17.762,0.9206,0.9355,0.9062,0.9206
119,FIFO,64,20,563,17.762,0.7586,0.8462,0.6875,0.9206
119,IE,64,50,263,38.023,0.9206,0.9355,0.9062,0.9206
119,FIFO,64,50,263,38.023,0.2745,0.3684,0.2188,0.9206
119,IE,128,5,2127,4.701,0.9206,0.9355,0.9062,0.9206
119,FIFO,128,5,2127,4.701,0.9375,0.9375,0.9375,0.9206
119,IE,128,10,1127,8.873,0.9206,0.9355,0.9062,0.9206
119,FIFO,128,10,1127,8.873,0.9206,0.9355,0.9062,0.9206
119,IE,128,20,627,15.949,0.9206,0.9355,0.9062,0.9206
119,FIFO,128,20,627,15.949,0.7273,0.8696,0.625,0.9206
119,IE,128,50,327,30.581,0.9206,0.9355,0.9062,0.9206
119,FIFO,128,50,327,30.581,0.36,0.5,0.2812,0.9206
119,IE,256,5,2255,4.435,0.9206,0.9355,0.9062,0.9206
119,FIFO,256,5,2255,4.435,0.9062,0.9062,0.9062,0.9206
