alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.3,0.1,0.6,2,sine,2,24.7964,1.652398e-03,0.7295,1.8306e-01,534,0
0.3,0.1,0.6,2,chirp,0,23.2232,2.287077e-03,0.7593,2.1545e-01,533,0
0.3,0.1,0.6,2,chirp,1,23.4190,2.186230e-03,0.7632,2.1830e-01,534,0
0.3,0.1,0.6,2,chirp,2,23.0319,2.390071e-03,0.7539,2.1830e-01,535,0
0.3,0.1,0.6,2,spikes,0,11.3231,1.679698e-03,0.7847,1.6322e-01,533,0
0.3,0.1,0.6,2,spikes,1,11.3091,1.685135e-03,0.7813,1.6322e-01,534,0
0.3,0.1,0.6,2,spikes,2,11.2060,1.725593e-03,0.7770,1.9433e-01,533,0
0.3,0.1,0.6,2,ecg,0,33.6879,5.597654e-11,0.8827,3.4667e-05,536,0
0.3,0.1,0.6,2,ecg,1,33.9437,5.277529e-11,0.8877,2.8333e-05,544,0
0.3,0.1,0.6,2,ecg,2,33.7255,5.549397e-11,0.8917,2.8889e-05,532,0
0.3,0.2,0.5,2,sine,0,23.9990,1.985403e-03,0.7110,1.9373e-01,533,0
0.3,0.2,0.5,2,sine,1,24.3953,1.812264e-03,0.7124,1.7391e-01,533,0
0.3,0.2,0.5,2,sine,2,24.3894,1.814744e-03,0.7157,1.7391e-01,533,0
0.3,0.2,0.5,2,chirp,0,23.7028,2.047959e-03,0.7614,2.1830e-01,536,0
0.3,0.2,0.5,2,chirp,1,23.7905,2.006995e-03,0.7521,2.1545e-01,533,0
0.3,0.2,0.5,2,chirp,2,23.8599,1.975180e-03,0.7575,2.1545e-01,534,0
0.3,0.2,0.5,2,spikes,0,11.3587,1.666005e-03,0.7702,1.5380e-01,533,0
0.3,0.2,0.5,2,spikes,1,11.3262,1.678519e-03,0.7728,1.6264e-01,533,0
0.3,0.2,0.5,2,spikes,2,11.4255,1.640546e-03,0.7705,1.6264e-01,531,0
0.3,0.2,0.5,2,ecg,0,33.3651,6.029600e-11,0.8817,3.1667e-05,532,0
0.3,0.2,0.5,2,ecg,1,33.4849,5.865528e-11,0.8817,2.8889e-05,538,0
0.3,0.2,0.5,2,ecg,2,33.4787,5.873929e-11,0.8857,3.0000e-05,533,0
0.3,0.3,0.4,2,sine,0,24.8499,1.632138e-03,0.7103,1.6357e-01,532,0
0.3,0.3,0.4,2,sine,1,24.4205,1.801778e-03,0.7014,1.9373e-01,534,0
0.3,0.3,0.4,2,sine,2,24.5353,1.754760e-03,0.7038,1.9373e-01,536,0
0.3,0.3,0.4,2,chirp,0,23.3958,2.197939e-03,0.7413,2.1830e-01,533,0
0.3,0.3,0.4,2,chirp,1,23.3512,2.220651e-03,0.7470,2.1830e-01,537,0
0.3,0.3,0.4,2,chirp,2,23.6345,2.080401e-03,0.7429,2.1830e-01,534,0
0.3,0.3,0.4,2,spikes,0,11.2865,1.693911e-03,0.7492,1.4932e-01,537,0
0.3,0.3,0.4,2,spikes,1,11.1204,1.759945e-03,0.7588,1.7519e-01,533,0
