mode,buffer_size,repeat,evictions,avg_us,trial_max_us,wall_clock_ms
IMP_INTERP_ERROR,2048,297,47952,5.8017,42.5610,283.1256
IMP_INTERP_ERROR,2048,298,47952,5.8826,62.6540,287.1017
IMP_INTERP_ERROR,2048,299,47952,5.7704,59.8440,281.5655
IMP_INTERP_COMPOSITE,2048,0,47952,16.3661,103.1860,789.7689
IMP_INTERP_COMPOSITE,2048,1,47952,16.3587,77.8080,789.4350
IMP_INTERP_COMPOSITE,2048,2,47952,16.4342,76.3850,793.1515
IMP_INTERP_COMPOSITE,2048,3,47952,16.6825,586.7200,805.1025
IMP_INTERP_COMPOSITE,2048,4,47952,16.4449,84.6960,793.5845
IMP_INTERP_COMPOSITE,2048,5,47952,16.4105,112.6090,791.9296
IMP_INTERP_COMPOSITE,2048,6,47952,16.6006,67.1380,801.1695
IMP_INTERP_COMPOSITE,2048,7,47952,16.5015,83.4690,796.4104
IMP_INTERP_COMPOSITE,2048,8,47952,16.6896,151.1920,805.5007
IMP_INTERP_COMPOSITE,2048,9,47952,16.2911,85.9840,786.2164
IMP_INTERP_COMPOSITE,2048,10,47952,16.2263,56.2870,783.0103
IMP_INTERP_COMPOSITE,2048,11,47952,16.3029,56.9580,786.6837
IMP_INTERP_COMPOSITE,2048,12,47952,16.3637,176.8860,789.7111
IMP_INTERP_COMPOSITE,2048,13,47952,16.4531,71.8460,794.0261
IMP_INTERP_COMPOSITE,2048,14,47952,16.6112,402.0830,801.6197
IMP_INTERP_COMPOSITE,2048,15,47952,16.2446,70.8140,783.9308
IMP_INTERP_COMPOSITE,2048,16,47952,16.4597,53.4920,794.2983
IMP_INTERP_COMPOSITE,2048,17,47952,16.3937,99.5090,791.0862
IMP_INTERP_COMPOSITE,2048,18,47952,16.5261,126.0800,797.6068
IMP_INTERP_COMPOSITE,2048,19,47952,16.7530,117.5730,808.4872
IMP_INTERP_COMPOSITE,2048,20,47952,17.2598,216.9520,833.0769
IMP_INTERP_COMPOSITE,2048,21,47952,16.9402,228.0410,817.6420
IMP_INTERP_COMPOSITE,2048,22,47952,16.2991,118.1140,786.5307
IMP_INTERP_COMPOSITE,2048,23,47952,16.2958,121.2300,786.4268
IMP_INTERP_COMPOSITE,2048,24,47952,16.3219,128.9850,787.6311
IMP_INTERP_COMPOSITE,2048,25,47952,16.4599,68.4600,794.3593
IMP_INTERP_COMPOSITE,2048,26,47952,16.3943,147.6300,791.1658
IMP_INTERP_COMPOSITE,2048,27,47952,16.5955,112.2090,800.9106
IMP_INTERP_COMPOSITE,2048,28,47952,16.3264,161.8780,787.9247
IMP_INTERP_COMPOSITE,2048,29,47952,16.3340,100.1000,788.2423
IMP_INTERP_COMPOSITE,2048,30,47952,16.4989,73.3090,796.1435
IMP_INTERP_COMPOSITE,2048,31,47952,20.2570,85.9130,978.2064
IMP_INTERP_COMPOSITE,2048,32,47952,16.5208,202.4140,797.2879
IMP_INTERP_COMPOSITE,2048,33,47952,16.6209,123.1740,802.1215
IMP_INTERP_COMPOSITE,2048,34,47952,16.4370,170.5090,793.3435
IMP_INTERP_COMPOSITE,2048,35,47952,16.3317,88.2680,788.1738
IMP_INTERP_COMPOSITE,2048,36,47952,16.2438,74.9620,783.8727
IMP_INTERP_COMPOSITE,2048,37,47952,16.3812,108.9610,790.5187
IMP_INTERP_COMPOSITE,2048,38,47952,16.7387,118.0450,807.9191
IMP_INTERP_COMPOSITE,2048,39,47952,16.5266,103.6420,797.6015
IMP_INTERP_COMPOSITE,2048,40,47952,16.4782,78.9190,795.2187
IMP_INTERP_COMPOSITE,2048,41,47952,16.4841,161.5570,795.5019
IMP_INTERP_COMPOSITE,2048,42,47952,16.3771,66.0950,790.3411
IMP_INTERP_COMPOSITE,2048,43,47952,16.8853,117.8140,814.9713
IMP_INTERP_COMPOSITE,2048,44,47952,16.7714,2767.7220,809.3710
IMP_INTERP_COMPOSITE,2048,45,47952,16.4775,95.4060,795.1703
IMP_INTERP_COMPOSITE,2048,46,47952,16.3402,61.4860,788.5082
IMP_INTERP_COMPOSITE,2048,47,47952,16.2947,222.4230,786.3207
IMP_INTERP_COMPOSITE,2048,48,47952,16.9168,231.9500,816.5333
IMP_INTERP_COMPOSITE,2048,49,47952,16.7525,105.0800,808.5289
IMP_INTERP_COMPOSITE,2048,50,47952,16.5664,100.9320,799.5562
IMP_INTERP_COMPOSITE,2048,51,47952,16.4442,101.5730,793.6550
IMP_INTERP_COMPOSITE,2048,52,47952,16.4557,100.0510,794.1357
IMP_INTERP_COMPOSITE,2048,53,47952,16.4363,143.0970,793.2013
IMP_INTERP_COMPOSITE,2048,54,47952,16.5739,153.5010,799.9286
IMP_INTERP_COMPOSITE,2048,55,47952,16.4421,93.4980,793.4682
IMP_INTERP_COMPOSITE,2048,56,47952,16.5537,130.7740,798.8382
IMP_INTERP_COMPOSITE,2048,57,47952,16.6575,298.0760,803.8824
IMP_INTERP_COMPOSITE,2048,58,47952,16.6120,678.3890,801.6871
IMP_INTERP_COMPOSITE,2048,59,47952,16.4971,99.0180,796.1261
IMP_INTERP_COMPOSITE,2048,60,47952,16.4790,130.4430,795.2711
IMP_INTERP_COMPOSITE,2048,61,47952,16.4195,77.1620,792.4627
IMP_INTERP_COMPOSITE,2048,62,47952,16.3566,80.1570,789.3711
IMP_INTERP_COMPOSITE,2048,63,47952,16.3832,127.2720,790.6833
IMP_INTERP_COMPOSITE,2048,64,47952,17.0521,153.0350,823.1012
IMP_INTERP_COMPOSITE,2048,65,47952,16.4732,83.3680,795.0389
