signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_100,ecg,256,3,922,2.1691973969631237,3.261168384879725,19.261168384879724,1.8019238323390374,8.879398625429552,40.277051,0.9686066580660087,0.7230657989877078
ecg_100,ecg,256,4,755,2.6490066225165565,3.261168384879725,19.261168384879724,2.200495064127937,7.2710910652920955,37.272542,1.3689037083674955,0.8830022075055187
ecg_100,ecg,256,5,655,3.053435114503817,3.261168384879725,19.261168384879724,2.536448509032965,6.30803264604811,35.368985,1.7043184678480527,1.0178117048346056
ecg_100,ecg,256,6,589,3.395585738539898,3.261168384879725,19.261168384879724,2.820668545698799,5.672414089347079,33.898111,2.018805364041995,1.1318619128466327
ecg_100,ecg,256,10,455,4.395604395604396,3.4579859462304094,19.45798594623041,3.6144373073357716,4.426691802767419,32.698917,2.317683612294774,1.465201465201465
ecg_100,ecg,256,20,355,5.633802816901408,3.8372897812827493,19.83728978128275,4.544010097360876,3.521118936177688,30.418531,3.01351564154685,1.8779342723004695
ecg_100,ecg,256,30,322,6.211180124223603,4.016038332123016,20.016038332123017,4.96496261341027,3.2225821714718057,30.050248,3.1440366502694004,2.070393374741201
ecg_100,ecg,256,50,295,6.779661016949152,4.192032668004265,20.192032668004266,5.372147423427669,2.9783248185306292,28.195661,3.8923953942687133,2.2598870056497176
ecg_100,ecg,512,2,1511,1.3236267372600927,3.261168384879725,19.261168384879724,1.0995193735384463,14.551812714776633,50.173689,0.30996706421721787,0.4412089124200309
ecg_100,ecg,512,3,1178,1.697792869269949,3.261168384879725,19.261168384879724,1.4103342728493995,11.344828178694158,44.279193,0.610998789743591,0.5659309564233164
ecg_100,ecg,512,4,1011,1.9782393669634026,3.261168384879725,19.261168384879724,1.6432975009066195,9.7365206185567,41.635397,0.8283810396274244,0.6594131223211341
ecg_100,ecg,512,5,911,2.1953896816684964,3.261168384879725,19.261168384879724,1.8236814197767204,8.773462199312714,40.070641,0.9919001364383137,0.7317965605561654
ecg_100,ecg,512,6,845,2.366863905325444,3.261168384879725,19.261168384879724,1.9661228087770326,8.137843642611683,39.056836,1.1147005104424166,0.7889546351084813
ecg_100,ecg,512,10,711,2.8129395218002813,3.261168384879725,19.261168384879724,2.336671973862999,6.847345360824741,36.665308,1.468028882088989,0.9376465072667605
ecg_100,ecg,512,20,611,3.2733224222585924,3.261168384879725,19.261168384879724,2.7191060121384494,5.884286941580755,35.02732,1.7726949194027768,1.0911074740861975
ecg_100,ecg,512,30,578,3.4602076124567476,3.261168384879725,19.261168384879724,2.874349088956042,5.56647766323024,34.434443,1.8979197712099483,1.1534025374855825
ecg_100,ecg,512,50,551,3.629764065335753,3.261168384879725,19.261168384879724,3.0151974109194057,5.306451890034364,33.219023,2.1829754419098024,1.2099213551119177
ecg_101,ecg,64,2,1063,1.881467544684854,3.261168384879725,19.261168384879724,1.5629104171369637,10.237310996563574,44.174494,0.6184082859657399,0.6271558482282847
ecg_101,ecg,64,3,730,2.73972602739726,3.261168384879725,19.261168384879724,2.2758544841323185,7.030326460481099,38.485965,1.1904242081811112,0.91324200913242
ecg_101,ecg,64,4,563,3.552397868561279,3.261168384879725,19.261168384879724,2.950930325784356,5.422018900343643,34.832997,1.8128010747571772,1.1841326228537596
