buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
512,5,0,RDP,23.1063,0.9983,0.9991,0.9988,0.9992,0.9993,121,238,340,402,16.0000,1101
512,5,1,PROPOSED,18.4840,0.9949,0.9998,0.9983,0.9949,0.9952,369,204,223,303,5.0000,1099
512,5,1,RDP,23.0807,0.9983,0.9991,0.9988,0.9992,0.9993,121,237,339,402,16.0000,1099
512,5,2,PROPOSED,18.4848,0.9949,0.9998,0.9983,0.9949,0.9952,370,204,223,303,5.0000,1100
512,5,2,RDP,23.1072,0.9983,0.9991,0.9988,0.9992,0.9993,121,238,339,402,16.0000,1100
512,5,3,PROPOSED,18.4840,0.9949,0.9998,0.9983,0.9949,0.9952,369,204,223,303,5.0000,1099
512,5,3,RDP,23.0807,0.9983,0.9991,0.9988,0.9992,0.9993,121,237,339,402,16.0000,1099
512,5,4,PROPOSED,18.5344,0.9949,0.9998,0.9983,0.9949,0.9951,369,204,224,304,5.0000,1101
512,5,4,RDP,23.1063,0.9983,0.9991,0.9988,0.9992,0.9993,121,238,340,402,16.0000,1101
512,8,0,PROPOSED,15.7431,0.9901,0.9994,0.9953,0.9921,0.9925,286,167,176,268,6.0000,897
512,8,0,RDP,18.5868,0.9954,0.9974,0.9978,0.9979,0.9977,89,178,276,354,18.0000,897
512,8,1,PROPOSED,15.7431,0.9901,0.9994,0.9953,0.9921,0.9925,286,167,176,268,6.0000,897
512,8,1,RDP,18.5868,0.9954,0.9974,0.9978,0.9979,0.9977,89,178,276,354,18.0000,897
512,8,2,PROPOSED,15.7431,0.9901,0.9994,0.9953,0.9921,0.9925,286,167,176,268,6.0000,897
512,8,2,RDP,18.5868,0.9954,0.9974,0.9978,0.9979,0.9977,89,178,276,354,18.0000,897
512,8,3,PROPOSED,15.6984,0.9900,0.9994,0.9948,0.9921,0.9925,286,166,176,268,6.0000,896
512,8,3,RDP,18.5418,0.9954,0.9974,0.9978,0.9979,0.9977,88,178,276,354,18.0000,896
512,8,4,PROPOSED,15.7595,0.9901,0.9994,0.9953,0.9921,0.9926,287,167,176,269,6.0000,899
512,8,4,RDP,18.6068,0.9954,0.9974,0.9978,0.9980,0.9977,89,178,278,354,18.0000,899
512,10,0,PROPOSED,15.0432,0.9889,0.9989,0.9934,0.9920,0.9920,251,148,166,262,7.0000,827
512,10,0,RDP,17.1714,0.9933,0.9959,0.9976,0.9967,0.9965,76,174,249,328,19.0000,827
